Name	early_unrefined_intensity	early_refined_intensity	late_unrefined_intensity	late_refined_intensity	cell_count	Cellular function
H3-3B	-0.6249493551214017	-0.019530917246254	-1.0320138014094349	-0.0322524953216476	0.4660699955427649	Other
H3-4	0.1798856230471455	0.0056046963572799	-0.5014978271635693	-0.0156251678009353	0.0236429308582172	chromatin organization
H3-5	0.3731072802330377	0.0111779210085015	-0.4460054346621686	-0.0133618768170439	0.2347810065240548	protein-containing complex assembly
H3C1	0.6430833008976939	0.0203870268050586	-0.5543128385406522	-0.0175728256074157	-0.0743841551533111	chromatin organization
H3C10	0.3775733171538753	0.0119698293004121	-0.5022302183808938	-0.015921702383111	0.5532202205848433	Other
H3C11	0.7208760831107115	0.0228532135867757	0.2804693129131712	0.0088914381579733	-0.1171121788009859	Other
H3C12	0.3144190171769561	0.0099677116825438	-0.9523159259991156	-0.0301903194860239	-0.2602169278771097	Other
H3C2	-0.943857698181674	-0.0299221767477554	-1.188171815669118	-0.0376674229003423	0.6917441344072504	Other
H3C3	1.2439191913857002	0.0394347262053094	-0.0218361530985283	-0.0006922497255295	-0.6140095171996443	Other
H3C4	-0.2362746235521163	-0.0074903781158491	-0.7027264975971595	-0.0222778354268251	-0.0977008840690346	Other
H3C6	0.4152450796354334	0.0131640995146025	-0.4769780473998344	-0.0151211580586695	0.1793624424254492	Other
H4C11	0.3540229017291814	0.0137760931749876	-0.3733370670270337	-0.0145276652892229	0.3538353212240437	Other
H4C12	1.751383857881894	0.0681516000617581	0.9750304763153484	0.0379413609248591	0.1014943839715124	Other
H4C13	0.1654751262188051	0.0064391335865523	-0.757004490645292	-0.0294573157444802	0.4064638142300115	Other
H4C14	-0.2312987592408666	-0.0090005286183398	-0.2721349877687973	-0.0105895887790472	0.46065020911042	Other
H4C15	0.2996713137406171	0.0116611098315886	0.2399930215270413	0.0093388484466817	0.3603347132028921	Other
H4C16	-0.0275429446242629	-0.0010717786041639	-0.4654853175226874	-0.0181134301607603	0.3338834073885475	Other
H4C2	-0.2859698652924139	-0.0111279453681237	-0.5645749134990204	-0.0219693036089873	0.0637632824855951	Other
H4C3	0.2766956665864146	0.0107670584738771	-0.6767192029402004	-0.026333174344012	0.2583993954124556	Other
H4C4	0.6103831025691235	0.0237518376702723	0.1695335661371451	0.0065970596590947	-0.3240563344741565	Other
H4C5	0.3393133208899467	0.0132036992557904	-0.1645668637386376	-0.0064037903686616	0.0483552077749903	Other
H4C6	-0.1323160789687052	-0.0051488155809092	-0.4274009167931502	-0.0166314518751718	0.6529440179964426	Other
H4C7	0.387840025453972	0.006209318807518	-0.3704158227607137	-0.005930357322399	0.9199084824570054	protein-containing complex assembly
H4C8	-0.3193901621373424	-0.0124284293792504	-0.5633280274689899	-0.0219207835329008	0.7815838260815833	Other
H6PD	-0.8805116460068083	-0.0033600324411619	-0.696349595231445	-0.0026572700554031	-0.2682421869364597	nucleobase-containing small molecule metabolic process
